What country do you live in currently?,What industry do you work in?,Other,"In the following list, what best describes the work you do?",Other,What level are you in your role?,How long have you worked remotely?,What percentage of the time do you work remotely?,Which of the following statements best describes you:,"Would you like to work remotely, at least some of the time, for the rest of your career?",Do you encourage others to work remotely? (This can be anyone in your life from coworkers to friends and family.),What’s your biggest struggle with working remotely?,Other,What’s the biggest benefit you see to working remotely?,Other,How much vacation did you take in the past year?,How much vacation time does your company offer each year?,What location do you primarily work from?,Other,What is the second most common location that you work from?,Other,"How often do you travel outside of your home city and work at the same time? (This includes work retreats, conferences, and any time you’re working in a different city.) ",Which description best suits you?,Did you always intend to support remote work?,What is your company's stance on remote work?,How many full-time employees does your company have?,What percentage of your company works remotely?,Does your company pay for your home internet?,Does your company cover the cost of a coworking membership?,Does your company cover the cost of drinks/food at coffee shops?,Are there any other costs of working remotely that your company covers?,"If you work from coffee shops, how much do you spend at coffee shops per week? (in USD)","If you work from coworking spaces, how much do you spend for yourself on coworking spaces per month? (in USD)",How much do you earn per year in USD? (We are not gathering your name or email address so this information will not be able to be used to identify you.),What has surprised you most about working remotely?,Anything else you want to add that we didn’t ask about?
United States,Software,,Customer Support,,Entry level,Less than six months,100%,I am happy with the amount of time I work remotely.,1,1,Collaborating and/or communication,,The flexibility to work from any location,,3 weeks,2 weeks,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,1 to 25%,Partially,No,No,No,,,"$75,001 to $100,000",,
United States,IT and Services,,Customer Support,,Management level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Taking vacation time,,Ability to work from home,,1 week,2 weeks,Home,,Not applicable,,Infrequently (Less than a week per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,"501 to 1,000",76 to 99%,No,No,No,No.,,,"$25,001 to $50,000",How quickly you can gain weight! haha!,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,Consumer products,,Human Resources,,Professional level,6 months to 11 months,26 to 50%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,The flexibility to work from any location,,3 weeks,3 weeks,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Employee,,At my company we can work from home as needed,11 to 50,26 to 50%,No,No,No,My iPhone which includes hot spot and my laptop,Between $1 and $5,Between $1 and $100,"$25,001 to $50,000",How much time and energy it has freed up so I can have time with family and go to classes/events I care about,I feel that I never want to go back to a mandated non flexible schedule. If I did I would be punching a clock instead of creating
India,Marketing,,Marketing and Advertising,,Executive level,More than 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,The flexibility to work from any location,,Less than 1 week,Unlimited,Home,,Not applicable,,Infrequently (Less than a week per year),Business owner,1,Everyone at my company works remotely,Fewer than 10,100%,Yes,No,No,None,Between $11 and $20,,"$25,001 to $50,000",Productivity backed with HUSTLE & GRIND,NA
United States,Software,,Engineering,,Professional level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Ability to have a flexible schedule,,6 weeks,Unlimited,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,"501 to 1,000",100%,No,Partially,Partially,"Home office equipment (desk, chair, monitor, etc)",More than $30,Between $301 and $400,"$75,001 to $100,000",,
Colombia,Software,,Engineering,,Senior level,More than 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,Ability to spend time with family,,More than 6 weeks,Unlimited,Coworking spaces,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,26 to 50%,No,Partially,No,,Between $5 and $10,Between $1 and $100,"$150,001 to $200,000",,
United States,Software,,Marketing and Advertising,,Professional level,1 year to 4 years,1 to 25%,I would like to work remotely more often.,1,1,Distractions at home,,Ability to have a flexible schedule,,3 weeks,Unlimited,Home,,Coffee shops and cafes,,Infrequently (Less than a week per year),Employee,,At my company we can work remotely a certain number of days per week/month,51 to 100,1 to 25%,No,No,No,"
",Between $1 and $5,Between $1 and $100,"$25,001 to $50,000","
","
"
Colombia,Software,,Engineering,,Senior level,6 months to 11 months,100%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,Ability to work from home,,3 weeks,3 weeks,Home,,Coffee shops and cafes,,Infrequently (Less than a week per year),Freelancer / Self-employed,,,,,,,,,Between $1 and $5,,"$25,001 to $50,000",I can share time with my family while I am working,If you work from home it is important to create a place to work different from another living areas
Serbia,IT and Services,,Marketing and Advertising,,Management level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Being in a different timezone than teammates,,Ability to spend time with family,,3 weeks,4 weeks,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,Fewer than 10,26 to 50%,No,Yes,No,no,More than $30,,"$25,001 to $50,000",The fact that I don't miss having a coworker next to me.,You can check where the companies that hire remote workers are located. I'm in Serbia and I work for a USA-based company.
Thailand,Software,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Staying motivated,,The flexibility to work from any location,,4 weeks,Unlimited,Coffee shops and cafes,,Coworking spaces,,Almost all the time,Business owner,1,Everyone at my company works remotely,Fewer than 10,100%,No,Yes,No,,More than $30,Between $201 and $300,"$50,001 to $75,000",My creativity skyrocketed!,I think a question related to belonging to digital nomad community would be interesting.
United States,Marketing,,Marketing and Advertising,,Senior level,Less than six months,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to have a flexible schedule,,1 week,Unlimited,Home,,Coworking spaces,,Frequently (Between one and six months per year),Employee,,Everyone at my company works remotely,101 to 500,51 to 75%,No,No,No,cell phone,More than $30,Between $1 and $100,"$100,000 to $125,000",I get more higher value work done,
United Kingdom,Marketing,,Marketing and Advertising,,Executive level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Taking vacation time,,Ability to have a flexible schedule,,2 weeks,Unlimited,Home,,Coworking spaces,,Infrequently (Less than a week per year),Freelancer / Self-employed,,,,,,,,,Between $1 and $5,Between $101 and $200,"$50,001 to $75,000",How much more productive I am,
Sri Lanka,Software,,Operations,,Professional level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,Ability to work from home,,3 weeks,Unlimited,Home,,Not applicable,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,"501 to 1,000",100%,No,Yes,Yes,,,,"$25,001 to $50,000",,
Philippines,Marketing,,Marketing and Advertising,,Management level,1 year to 4 years,100%,I would like to work remotely more often.,1,1,Being in a different timezone than teammates,,Ability to have a flexible schedule,,2 weeks,None,Home,,Coffee shops and cafes,,Frequently (Between one and six months per year),Employee,,Everyone at my company works remotely,11 to 50,100%,No,No,No,"None yet but for 2019, internet will be covered.",Between $1 and $5,Between $1 and $100,"up to $25,000",I still crave for social or personal interactions,Philippines has a long way to go in recognizing remote work as the future of work.
Brazil,Marketing,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Being in a different timezone than teammates,,Ability to have a flexible schedule,,2 weeks,2 weeks,Home,,Home,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,1 to 25%,No,Yes,No,No,More than $30,Between $201 and $300,"$150,001 to $200,000",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,IT and Services,,Engineering,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,Ability to have a flexible schedule,,4 weeks,Unlimited,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,"501 to 1,000",100%,No,Yes,No,Home office,Between $11 and $20,Between $101 and $200,"$125,001 to $150,000",Why more companies aren't making the switch.,
