"Please link back to the original report when using this data: 
buffer.com/2021-state-of-remote-work",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,What country do you live in currently?,What industry do you work in?,Other,"In the following list, what best describes the work you do?",Other,Which of the following best describes you?,Other,How long have you been in the workforce?,How long have you worked remotely?,Do you have a disability or chronic illness?,Is a disability or chronic illness one of the reasons you pursued remote work?,Are you a parent or caregiver?,Is being a parent or caregiver one of the reasons you pursued remote work?,"Would you like to work remotely, at least some of the time, for the rest of your career?",Would you recommend remote work to others?,What’s your biggest struggle with working remotely?,Other,What’s the biggest benefit you see to working remotely?,Other,Are you working remotely as a result of COVID-19?,Is your company planning on permanently allowing remote work?,When will you be returning to your workspace and no longer be allowed to work remotely?,Was your company's transition to remote work smooth?,What made it smooth?,Why not?,What has changed the most about your work now that you work remotely?,Other,Would you say you are working less or more now that you work remotely?,Do you find you are in more meetings as a result of the shift to remote work?,Is there anything else you'd like to add about how your work has changed now that you work remotely?,Which description best suits you?,Is your company operating in multiple time zones?,How many time zones do employees at your company span?,Are people on your immediate team in multiple time zones?,Does your company encourage asynchronous communication? (Asynchronous communication simply means that work doesn’t happen at the same time for everyone. E.g. On video calls.),How many full-time employees does your company have?,What percentage of your company works remotely?,"If you work from home, does your company pay for your home internet?","
Does your company pay for your cell phone? ",Does your company cover the cost of a coworking membership?,Does your company cover your necessary hardware needs (e.g. a laptop or desktop computer)?,Does your company cover your necessary software needs?,Are there any other costs of working remotely that your company covers?,Anything else you want to add that we didn’t ask about?
,United States,Education,,Leadership,,Black or African American,,10 years - 14 years,1 year to 4 years,0,,1,0,1,1,Distractions at home,,Ability to spend time with family,,0,,,,,,,,,,,Employee,0,,,1,"More than 1,001",100%,No,Partially,No,Yes,Yes,N/A,N/A
,Canada,Software,,,Executive,White,,15 years - 19 years,Less than six months,0,,1,0,1,1,Difficulties with collaboration and communication,,Not having to commute,,1,Yes,,1,Already well equites with remote software stack,,My work hours,,I'm working more,1,No,Employee,1,2-5 time zones,1,1,101 to 500,76 to 99%,No,Yes,No,Yes,Yes,No,No
,India,IT and Services,,Sales,,Asian or Pacific Islander,,5 years - 9 years,6 months to 11 months,0,,1,1,1,1,Distractions at home,,Ability to spend time with family,,1,I don't know,,1,Nature of business,,I’m now acting as my child(ren)’s caretaker/teacher,,I'm working more,0,"As much as I love work from home, the nature of work creates stress resulting in frustration.",Employee,1,2-5 time zones,1,0,51 to 100,100%,Partially,No,No,Yes,Yes,No,Nope!
,Brazil,,Energy,Leadership,,Hispanic or Latino,,5 years - 9 years,1 year to 4 years,0,,1,1,1,1,Not being able to unplug,,Flexibility to work from any location,,0,,,,,,,,,,,Freelancer / Self-employed,,,,,,,,,,,,,
,United States,IT and Services,,Customer Support,,White,,More than 20 years,More than 10 years,0,,0,,1,1,Not being able to unplug,,Flexibility to work from any location,,1,Yes,,1,Self-employed IT Consultant,,My work hours,,I'm working the same amount,0,Some Users Don't Realize The Amount Of Work,Freelancer / Self-employed,,,,,,,,,,,,,No
,Canada,Software,,Engineering,,Black or African American,,1 year - 4 years,6 months to 11 months,0,,0,,1,1,Staying motivated,,Flexibility to work from any location,,0,,,,,,,,,,,Employee,0,,,1,51 to 100,100%,No,No,No,Yes,Partially,No,No
,United States,IT and Services,,Leadership,,White,,15 years - 19 years,5 years - 9 years,0,,0,,1,1,Staying motivated,,Ability to have a flexible schedule,,0,,,,,,,,,,,Business owner,0,,,1,Just me,100%,Partially,Partially,No,Yes,Yes,"Training (books, videos, courses)",
,Israel,Software,,Product,,White,,1 year - 4 years,Less than six months,0,,0,,1,1,Being in a different timezone than teammates,,Not having to commute,,0,,,,,,,,,,,Employee,1,2-5 time zones,0,1,11 to 50,1 to 25%,No,No,Yes,No,Yes,,Nope
