Country,City,Do you work remotely sometimes?,Which best describes you?,Do you set your own hours or does someone else set them for you?,How long have you worked remotely?,"In general, how would you describe your experience with remote work?","If you work from home, what room do you typically work in?","Other - Write In:If you work from home, what room do you typically work in?",How many people work remotely in your home?,"If the pandemic ended today, would you like to primarily work remotely from multiple locations (such as a co-working space or another city) or would you prefer to work from home?","On video work calls, do you prefer the camera to be on or off?","Would you describe yourself as an introvert, extrovert or an ambivert?",Do you identify as a person with a chronic illness or disability?,Is your disability or chronic illness one of the reasons you pursued remote work?,Are you a parent/guardian whose child(ren) live at home?,Is being a parent/guardian one of the reasons you pursued remote work?,Does being a parent/guardian make you want to continue to work remotely?,"If your child(ren) were unexpectedly home because of the pandemic, what type of impact did that have on your work?",Loneliness:What struggles do you have with working remotely? Select all that apply.,Working across time zones:What struggles do you have with working remotely? Select all that apply.,Difficulties with collaboration and communication:What struggles do you have with working remotely? Select all that apply.,Staying motivated:What struggles do you have with working remotely? Select all that apply.,Difficulty focusing:What struggles do you have with working remotely? Select all that apply.,Working more:What struggles do you have with working remotely? Select all that apply.,Not being able to unplug:What struggles do you have with working remotely? Select all that apply.,Career advancement or growth:What struggles do you have with working remotely? Select all that apply.,I don’t have any struggles working remotely:What struggles do you have with working remotely? Select all that apply.,Other - Write In:What struggles do you have with working remotely? Select all that apply.,Other - Write In:What struggles do you have with working remotely? Select all that apply.,"Of those, what’s your biggest struggle with working remotely?",Why is collaboration difficult when working remotely?,"Flexibility to choose my work location (home, coffee shop, coworking space, etc.):What benefit(s) do you experience because you work remotely?",Flexibility to live where I choose:What benefit(s) do you experience because you work remotely?,Flexibility in how I spend my time:What benefit(s) do you experience because you work remotely?,I have more time because I don't commute:What benefit(s) do you experience because you work remotely?,I feel safer:What benefit(s) do you experience because you work remotely?,It's better for me financially:What benefit(s) do you experience because you work remotely?,Flexibility in my career options:What benefit(s) do you experience because you work remotely?,The ability to better focus in my work:What benefit(s) do you experience because you work remotely?,Other - Write In:What benefit(s) do you experience because you work remotely?,Other - Write In:What benefit(s) do you experience because you work remotely?,What’s the biggest benefit of working remotely?,"Would you like to work remotely, at least some of the time, for the rest of your career?",Would you recommend remote work to others?,Why would you recommend remote work to others?,Did you or your organization transition to full or partial remote work as a result of COVID-19?,Is your company planning on permanently allowing some amount of remote work?,Did you have experience working remotely prior to COVID-19?,My work hours:What has changed about your work since your started working remotely? Select all that apply.,How I collaborate and communicate:What has changed about your work since your started working remotely? Select all that apply.,How I do my work:What has changed about your work since your started working remotely? Select all that apply.,More video calls:What has changed about your work since your started working remotely? Select all that apply.,Nothing changed:What has changed about your work since your started working remotely? Select all that apply.,Other - Write In:What has changed about your work since your started working remotely? Select all that apply.,Other - Write In:What has changed about your work since your started working remotely? Select all that apply.,Would you say you are working less or more since you started working remotely?,Are you in more meetings as a result of the shift to remote work?,"Overall, do you feel more or less excited about your job since your shift to remote work?","Overall, do you feel more or less connected to your co-workers after your shift to remote work?","How many employees does your company have? (Include both full and part-time.) If you are part-time and have more than one job, answer these next questions with only one employer in mind.",What percentage of your company currently works remotely?,What kind of remote work structure do you currently operate under?,What kind of remote work structure would you like to have?,"At your company, is an employee's pay tied to their city/location?",Do you support pay being tied to city/location?,"At your company, is an employee paid less if they work remotely?",Based on attendance or time:How is employee performance measured at your company? Select all that apply.,Based on completion of projects:How is employee performance measured at your company? Select all that apply.,Based on the achievement of goals:How is employee performance measured at your company? Select all that apply.,Unsure:How is employee performance measured at your company? Select all that apply.,Other - Write In:How is employee performance measured at your company? Select all that apply.,Other - Write In:How is employee performance measured at your company? Select all that apply.,"Pay for some/all of things I need to work from home (e.g., internet, monitor):How does your company support you working remotely?",Have systems and tech for remote team collaboration and communication :How does your company support you working remotely?,Regular 1:1 meetings:How does your company support you working remotely?,Have one day where no meetings are scheduled:How does your company support you working remotely?,Promote flexible working hours:How does your company support you working remotely?,Offer a 4-day work week:How does your company support you working remotely?,Provide remote career growth opportunities:How does your company support you working remotely?,Help me connect with more colleagues as it relates to my work:How does your company support you working remotely?,Offer me opportunities to socialize with co-workers:How does your company support you working remotely?,Is there anything else your company could offer to improve your remote work experience?,"Does your company have an asynchronous-first policy? Asynchronous simply means work isn't happening at the same time for everyone, asynchronous is the opposite of video calls, which are synchronous.",Would you like your company to be asynchronous-first?,What are your overall feelings about asynchronous-first work?,Do you feel your company trusts you to work remotely?,Because they monitor my work:Why don't you feel your company trusts you to work remotely? Select all that apply.,Because I am checked in on regularly:Why don't you feel your company trusts you to work remotely? Select all that apply.,Because I am not trusted to complete tasks alone:Why don't you feel your company trusts you to work remotely? Select all that apply.,It does not feel like they trust me:Why don't you feel your company trusts you to work remotely? Select all that apply.,Other - Write In:Why don't you feel your company trusts you to work remotely? Select all that apply.,Other - Write In:Why don't you feel your company trusts you to work remotely? Select all that apply.,Do you think career growth is more or less difficult for remote workers to achieve?,What country do you live in?,What industry do you work in?,Other - Write In:What industry do you work in?,What best describes the work you do?,Other - Write In:What best describes the work you do?,How do you identify?,Prefer to self-describe:How do you identify?,"Are you of Hispanic, Latino, or of Spanish origin?",American Indian or Alaska Native:How would you describe yourself? Select all that apply.,Asian:How would you describe yourself? Select all that apply.,Black or African American:How would you describe yourself? Select all that apply.,Native Hawaiian or Other Pacific Islander:How would you describe yourself? Select all that apply.,White:How would you describe yourself? Select all that apply.,Other - Write In:How would you describe yourself? Select all that apply.,Prefer not to answer:How would you describe yourself? Select all that apply.,Other - Write In:How would you describe yourself? Select all that apply.,What generation are you a part of?,How long have you been in the professional workforce?
Germany,Berlin,Yes - Full-Time,Employee (full or part-time),I set my own hours,3 - 5 years,Somewhat positive,Bedroom,,2,Multiple locations,On camera,Ambivert (A mix of an extrovert and an introvert),No,,No,,,,Loneliness,,,,Difficulty focusing,Working more,Not being able to unplug,,,,,Not being able to unplug,,,,Flexibility in how I spend my time,I have more time because I don't commute,,,,The ability to better focus in my work,,,Flexibility in how I spend my time,Yes,Yes,,Yes,Yes,Yes,My work hours,How I collaborate and communicate,How I do my work,More video calls,,,,I’m working the same amount,No,No impact,Less connected,11-100,76 - 99%,Remote-first (very close to fully remote),Remote-first (very close to fully remote),Unsure,No,Unsure,,,,Unsure,,,They do this,"They don't do this, but I wish they would",They do this,Not important,They do this,They do this,"They don't do this, but I wish they would","They don't do this, but I wish they would",They do this,,No,Yes,,Yes,,,,,,,No impact,Germany,Other - Write In,Music,Leadership,,Male,,No,,,,,White,,,,Millennial (born 1981 to 1996),10 years - 14 years
New Zealand,Wellington,Yes - Full-Time,Employee (full or part-time),I set my own hours,Less than a year,Somewhat positive,Office,,2,Home,On camera,Ambivert (A mix of an extrovert and an introvert),No,,No,,,,Loneliness,Working across time zones,Difficulties with collaboration and communication,Staying motivated,Difficulty focusing,,,Career advancement or growth,,,,Loneliness,Time zones and overlap to meet/talk about work.,"Flexibility to choose my work location (home, coffee shop, coworking space, etc.)",,Flexibility in how I spend my time,I have more time because I don't commute,I feel safer,It's better for me financially,,,Other - Write In,Less stressful,I have more time because I don't commute,Yes,Yes,It has been so great for my well-being and work/life balance.,Yes,Yes,No,My work hours,How I collaborate and communicate,,More video calls,,,,I’m working less,No,More excited,Less connected,11-100,100%,Fully remote,Fully remote,No,No,No,,,,Unsure,,,They do this,They do this,They do this,Not important,They do this,"They don't do this, but I wish they would","They don't do this, but I wish they would","They don't do this, but I wish they would","They don't do this, but I wish they would",,Yes,,Somewhat positive,Yes,,,,,,,More difficult,New Zealand,Software,,Design,,Male,,No,,,,,White,,,,Millennial (born 1981 to 1996),15 years - 19 years
Thailand,Bangkok,Yes - Full-Time,Business owner with at least one employee,I set my own hours,6 - 9 years,Very positive,Living room,,1 (just me),Multiple locations,Off camera,Ambivert (A mix of an extrovert and an introvert),No,,No,,,,Loneliness,,,,,Working more,Not being able to unplug,,,,,Not being able to unplug,,"Flexibility to choose my work location (home, coffee shop, coworking space, etc.)",Flexibility to live where I choose,Flexibility in how I spend my time,I have more time because I don't commute,I feel safer,It's better for me financially,Flexibility in my career options,The ability to better focus in my work,,,Flexibility in how I spend my time,Yes,Yes,Better work life balance,No,,,,,,,,,,,,,,Fewer than 10,100%,Fully remote,Fully remote,No,No,No,,,Based on the achievement of goals,,,,,,,,,,,,,,Yes,,Very positive,,,,,,,,,Portugal,Software,,Product,,Male,,No,,,,,White,,,,Millennial (born 1981 to 1996),6 - 9 years
Morocco,Casablanca,Yes - Part-Time,Self-employed/freelancer/independent consultant,I set my own hours,1 - 2 years,Very positive,Bedroom,,1 (just me),Multiple locations,Off camera,Ambivert (A mix of an extrovert and an introvert),No,,No,,,,Loneliness,,,,Difficulty focusing,,,,,,,Difficulty focusing,,"Flexibility to choose my work location (home, coffee shop, coworking space, etc.)",,Flexibility in how I spend my time,,,It's better for me financially,Flexibility in my career options,,,,Flexibility in my career options,Yes,Yes,Because it has many benefits such as enjoying the freedom of working from wherever they want and also spending more time with family.,Yes,,No,My work hours,How I collaborate and communicate,How I do my work,,,,,I’m working more,No,More excited,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Morocco,Software,,Engineering,,Male,,No,,,,,,Other - Write In,,Arabic - North African,Generation Z (born after 1996),Less than a year
United States,Austin,Yes - Full-Time,Self-employed/freelancer/independent consultant,I set my own hours,Less than a year,Very positive,Office,,1 (just me),Multiple locations,On camera,Ambivert (A mix of an extrovert and an introvert),No,,No,,,,Loneliness,,,,Difficulty focusing,,,,,,,Loneliness,,"Flexibility to choose my work location (home, coffee shop, coworking space, etc.)",Flexibility to live where I choose,Flexibility in how I spend my time,I have more time because I don't commute,,It's better for me financially,Flexibility in my career options,The ability to better focus in my work,,,Flexibility in my career options,Yes,Yes,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,My location is flexible,"Marketing, Media and Publishing",,Marketing,,Male,,No,,,,,White,,,,Generation Z (born after 1996),3 - 5 years
Albania,,Yes - On occasion,Employee (full or part-time),Someone else sets my hours,1 - 2 years,Very positive,Office,,1 (just me),Multiple locations,Off camera,Ambivert (A mix of an extrovert and an introvert),No,,No,,,,,,,,,,,,I don’t have any struggles working remotely,,,,,"Flexibility to choose my work location (home, coffee shop, coworking space, etc.)",Flexibility to live where I choose,Flexibility in how I spend my time,I have more time because I don't commute,,It's better for me financially,Flexibility in my career options,The ability to better focus in my work,,,Flexibility in how I spend my time,Yes,Yes,,No,,,,,,,,,,,,,,11-100,1 - 25%,Office-occasional (required or encouraged to be in the office somewhat regularly),Fully remote,Yes,No,Unsure,Based on attendance or time,Based on completion of projects,,,,,"They don't do this, but I wish they would","They don't do this, but I wish they would","They don't do this, but I wish they would","They don't do this, but I wish they would","They don't do this, but I wish they would","They don't do this, but I wish they would","They don't do this, but I wish they would","They don't do this, but I wish they would","They don't do this, but I wish they would",,No,Yes,,No,,Because I am checked in on regularly,,It does not feel like they trust me,,,More difficult,Kosovo,"Marketing, Media and Publishing",,Marketing,,Male,,No,,,,,White,,,,Millennial (born 1981 to 1996),6 - 9 years
Philippines,Marikina,Yes - Full-Time,Employee (full or part-time),I set my own hours,1 - 2 years,Very positive,Other - Write In,Make shift office in shared space.,3 or more,Multiple locations,On camera,Ambivert (A mix of an extrovert and an introvert),No,,No,,,,,,,,,,Not being able to unplug,,,,,Not being able to unplug,,"Flexibility to choose my work location (home, coffee shop, coworking space, etc.)",Flexibility to live where I choose,Flexibility in how I spend my time,I have more time because I don't commute,,It's better for me financially,,The ability to better focus in my work,,,Flexibility in how I spend my time,Yes,Yes,It gives us the opportunity to work for companies or things outside the typical 30km radius that are preferred in physical offices.,No,,,,,,,,,,,,,,101-500,100%,Fully remote,Fully remote,No,No,No,,Based on completion of projects,Based on the achievement of goals,,,,They do this,They do this,They do this,They do this,They do this,"They don't do this, but I wish they would",They do this,They do this,They do this,Global pay,Yes,,Very positive,Yes,,,,,,,No impact,Philippines,IT and Services,,Human Resources,,Male,,No,,Asian,,,,,,,Millennial (born 1981 to 1996),1 - 2 years
United States,Round Rock,Yes - Full-Time,Employee (full or part-time),I set my own hours,6 - 9 years,Very positive,Office,,1 (just me),Home,On camera,Introvert,No,,No,,,,,Working across time zones,,,,,Not being able to unplug,,,,,Not being able to unplug,,"Flexibility to choose my work location (home, coffee shop, coworking space, etc.)",Flexibility to live where I choose,Flexibility in how I spend my time,,,,,,,,Flexibility in how I spend my time,Yes,Yes,,No,,,,,,,,,,,,,,101-500,100%,Fully remote,Fully remote,Unsure,No,No,,Based on completion of projects,Based on the achievement of goals,,Other - Write In,360º Reviews,"They don't do this, but I wish they would",They do this,They do this,"They don't do this, but I wish they would",They do this,"They don't do this, but I wish they would",They do this,They do this,They do this,,Yes,,Very positive,Yes,,,,,,,No impact,United States,Software,,Customer Support,,Male,,No,,,,,White,,,,Generation X (born 1965 to 1980),20 or more years
Spain,Madrid,Yes - Full-Time,Employee (full or part-time),I set my own hours,6 - 9 years,Somewhat positive,Office,,2,Home,On camera,Extrovert,No,,Yes,No,Yes,Negative,Loneliness,,,,Difficulty focusing,,Not being able to unplug,,,,,Difficulty focusing,,,Flexibility to live where I choose,Flexibility in how I spend my time,I have more time because I don't commute,,,,,,,Flexibility in how I spend my time,Yes,Yes,Because of the flexibility it offers. And you don't need to work remotely full time if you don't want to,Yes,Yes,Yes,,How I collaborate and communicate,,,,Other - Write In,Others got better at communicating remotely,I’m working the same amount,Yes,No impact,Less connected,"1,001+",76 - 99%,Fully remote,Remote-first (very close to fully remote),No,No,No,,,Based on the achievement of goals,,,,They do this,They do this,Not important,"They don't do this, but I wish they would",They do this,Not important,They do this,"They don't do this, but I wish they would","They don't do this, but I wish they would",,No,Yes,,Yes,,,,,,,More difficult,Spain,"Education, E-commerce",,Other - Write In,Teaching and research,Female,,Yes,,,,,White,,,,Generation X (born 1965 to 1980),20 or more years
United States,Saint Paul,Yes - Full-Time,Employee (full or part-time),I set my own hours,6 - 9 years,Very positive,Office,,1 (just me),Home,On camera,Ambivert (A mix of an extrovert and an introvert),No,,No,,,,Loneliness,,,,Difficulty focusing,Working more,Not being able to unplug,,,,,Loneliness,,"Flexibility to choose my work location (home, coffee shop, coworking space, etc.)",Flexibility to live where I choose,Flexibility in how I spend my time,I have more time because I don't commute,I feel safer,It's better for me financially,Flexibility in my career options,The ability to better focus in my work,,,I have more time because I don't commute,Yes,Yes,,No,,,,,,,,,,,,,,101-500,100%,Fully remote,Fully remote,Yes,No,No,,Based on completion of projects,Based on the achievement of goals,,,,"They don't do this, but I wish they would",They do this,They do this,They do this,They do this,"They don't do this, but I wish they would","They don't do this, but I wish they would",They do this,They do this,More opportunities for socializing. With no travel the last almost 2 years now it's rough.,No,Unsure,,Yes,,,,,,,More difficult,United States,Software,,Engineering,,Male,,No,,,,,White,,,,Millennial (born 1981 to 1996),10 years - 14 years
