Do you work remotely sometimes?,What country do you live in currently?,What industry do you work in?,Other,"In the following list, what best describes the work you do?",Other,What level are you in your role?,How long have you worked remotely?,What percentage of the time do you work remotely?,Which of the following statements best describes you:,"Would you like to work remotely, at least some of the time, for the rest of your career?",Would you recommend remote work to others?,What’s your biggest struggle with working remotely?,Other,What’s the biggest benefit you see to working remotely?,Other,How much vacation did you take in the past year?,How much vacation time does your company offer each year?,What location do you primarily work from?,Other,What is the second most common location that you work from?,Other,"How often do you travel outside of your home city and work at the same time? (This includes work retreats, conferences, and any time you’re working in a different city.) ",Which description best suits you?,Did you always intend to support remote work?,What is your company's stance on remote work?,How many full-time employees does your company have?,What percentage of your company works remotely?,Does your company pay for your home internet?,24. Does your company pay for your cell phone?,Does your company cover the cost of a coworking membership?,Does your company cover the cost of drinks/food at coffee shops?,Are there any other costs of working remotely that your company covers?,"If you work from coffee shops, how much do you spend at coffee shops per week? (in USD)","If you work from coworking spaces, how much do you spend for yourself on coworking spaces per month? (in USD)",How much do you earn per year in USD?,What has surprised you most about working remotely?,Anything else you want to add that we didn’t ask about?
1,Albania,Travel and Tourism,,Marketing and Advertising,,Senior level,1 year to 4 years,100%,I would like to work remotely less often.,1,1,Not being able to unplug,,Flexibility to work from any location,,2 weeks,2 weeks,Home,,Coffee shops,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,11 to 50,26 to 50%,No,No,No,No,No,Between $5 and $10,Not applicable,"up to $25,000",It requires too much discipline to be able to get  your work done,
1,Albania,Software,,Data,,Entry level,1 year to 4 years,1 to 25%,I would like to work remotely more often.,1,1,Being in a different timezone than teammates,,Ability to work from home,,2 weeks,5 weeks,Home,,Company's office,,Infrequently (Less than a week per year),Freelancer / Self-employed,,,,,,,,,,Not applicable,Between $1 and $100,"up to $25,000",Being able to work on my own path,No
1,Albania,Software,,Engineering,,Professional level,1 year to 4 years,100%,I would like to work remotely more often.,1,1,Staying motivated,,Flexibility to work from any location,,2 weeks,Unlimited,Coffee shops,,Home,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,,Between $11 and $20,Not applicable,"$25,001 to $50,000",,
1,Algeria,IT and Services,,Sales,,Entry level,Less than six months,1 to 25%,I would like to work remotely more often.,1,1,Finding reliable wifi,,Flexibility to work from any location,,None,6 weeks,Home,,Libraries,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,,Not applicable,More than $500,"up to $25,000",freedom,opportunity to work more often and more rewarding jobs
1,Angola,Travel and Tourism,,Customer Support,,Professional level,6 months to 11 months,1 to 25%,I would like to work remotely more often.,1,1,Loneliness,,Ability to work from home,,1 week,Less than 1 week,Home,,Libraries,,Infrequently (Less than a week per year),Business owner,1,Everyone at my company works remotely,Fewer than 10,1 to 25%,Yes,Yes,Yes,Yes,No,Between $11 and $20,Between $1 and $100,"up to $25,000",Time move fast,Nothing
1,Argentina,Software,,Engineering,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Flexibility to work from any location,,4 weeks,More than 6 weeks,Coffee shops,,Home,,Very frequently (More than six months of the year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,Fewer than 10,1 to 25%,No,No,No,No,no,Between $11 and $20,Between $201 and $300,"$50,001 to $75,000","I can be in the bush everydays, breed good air, connect with nature","Working from offices is good from time to time, but not necessary. We are animals, we need nature."
1,Argentina,Software,,Design,,Management level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Difficulties with collaboration and communication,,Flexibility to work from any location,,3 weeks,Unlimited,Coworking spaces,,Home,,Frequently (Between one and six months per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,11 to 50,51 to 75%,No,No,No,No,retreats,Not applicable,Between $101 and $200,"$50,001 to $75,000",flexibility,nope
1,Argentina,,Arquitect,Design,,Senior level,More than 4 years,26 to 50%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Ability to work from home,,2 weeks,2 weeks,Home,,Coworking spaces,,Never,Employee,,I am a solo business or freelancer and work remotely,Just me,1 to 25%,Yes,Yes,Partially,No,Movility,Not applicable,Not applicable,"up to $25,000",I dont now,No  coments
1,Argentina,E-commerce,,Leadership,,Executive level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Difficulties with collaboration and communication,,Ability to have a flexible schedule,,2 weeks,2 weeks,Home,,Coffee shops,,Never,Business owner,1,I am a solo business or freelancer and work remotely,Just me,100%,No,No,No,No,No,Between $11 and $20,Not applicable,"up to $25,000",nothing,It is important to invest in comfortability if you work at home
1,Argentina,Medical and Healthcare,,Design,,Senior level,More than 4 years,76 to 99%,I would like to work remotely less often.,1,1,Loneliness,,Flexibility to work from any location,,2 weeks,2 weeks,Home,,Not applicable,,Sometimes (Between one week and one month per year),Employee,,At my company we can work from home as needed,101 to 500,76 to 99%,No,No,No,No,,Between $20 and $30,Not applicable,"up to $25,000",,
1,Argentina,Financial Services,,Engineering,,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Difficulties with collaboration and communication,,Flexibility to work from any location,,5 weeks,5 weeks,Coworking spaces,,Home,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,,Not applicable,Between $101 and $200,"$75,001 to $100,000",That it actually works.,None.
1,Argentina,Software,,Engineering,,Senior level,More than 4 years,76 to 99%,I would like to work remotely more often.,1,1,,None,Not having to commute,,3 weeks,2 weeks,Home,,Company's office,,Sometimes (Between one week and one month per year),Employee,,At my company we can work from home as needed,Fewer than 10,100%,No,No,No,No,No,Not applicable,Not applicable,"up to $25,000","Be more productive, better performance",no
1,Argentina,IT and Services,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Difficulties with collaboration and communication,,Ability to have a flexible schedule,,3 weeks,Unlimited,Coworking spaces,,Home,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,"501 to 1,000",76 to 99%,No,No,No,No,Aditional equipment,Between $5 and $10,Between $1 and $100,"$25,001 to $50,000",How much I miss everyday interactions.,
1,Argentina,E-commerce,,Customer Support,,Management level,More than 4 years,26 to 50%,I would like to work remotely more often.,1,1,Distractions at home,,Ability to have a flexible schedule,,2 weeks,3 weeks,Home,,Company's office,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,11 to 50,51 to 75%,No,Yes,No,No,,Not applicable,Not applicable,"$50,001 to $75,000",,
1,Argentina,IT and Services,,Leadership,,Executive level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Finding reliable wifi,,Ability to have a flexible schedule,,4 weeks,3 weeks,Home,,Home,,Frequently (Between one and six months per year),Business owner,1,Everyone at my company works remotely,11 to 50,100%,No,No,No,No,,Between $1 and $5,Not applicable,"$100,000 to $125,000",,
1,Argentina,IT and Services,,Customer Support,,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Not being able to unplug,,Ability to have a flexible schedule,,3 weeks,5 weeks,Home,,Coffee shops,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,,Between $11 and $20,Not applicable,"up to $25,000",How easy I have gotten used to it and what an integral part of my life it is. I can't see myself going back to an office with regular hours.,
1,Argentina,Software,,Engineering,,Professional level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to have a flexible schedule,,3 weeks,None,Home,,Coworking spaces,,Never,Freelancer / Self-employed,,,,,,,,,,Between $1 and $5,Between $1 and $100,"$25,001 to $50,000",,
1,Argentina,Marketing,,Marketing and Advertising,,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,,Relating with your team,,Time efficiencies,3 weeks,2 weeks,Home,,Company's office,,Never,Employee,,At my company we can work remotely a certain number of days per week/month,"More than 1,001",100%,Yes,No,No,No,No,Not applicable,Not applicable,"up to $25,000",Time efficiencies,No
1,Argentina,Software,,Product,,Management level,6 months to 11 months,100%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Not having to commute,,2 weeks,2 weeks,Home,,Coworking spaces,,Infrequently (Less than a week per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,51 to 100,26 to 50%,No,No,Yes,No,None,More than $30,Between $401 and $500,"$25,001 to $50,000",That I gained a lot of weight :(,Nothing comes to mind right now
1,Argentina,E-commerce,,Engineering,,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,,earnings in a currency different from the one of my country.,2 weeks,Unlimited,Home,,Not applicable,,Never,Employee,,Everyone at my company works remotely,11 to 50,100%,No,No,No,No,No,Not applicable,Between $1 and $100,"$25,001 to $50,000",How hard is to manage time for myself.,
1,Argentina,Consumer products,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to have a flexible schedule,,3 weeks,None,Home,,Coffee shops,,Never,Employee,,Part of the team is full-time remote and part of the team works out of the same office.,11 to 50,1 to 25%,No,No,No,No,.,Between $1 and $5,Not applicable,"$50,001 to $75,000",.,.
1,Argentina,IT and Services,,Engineering,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Not having to commute,,None,3 weeks,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,11 to 50,100%,No,No,No,No,Company business  travels,Between $5 and $10,Between $1 and $100,"up to $25,000",The impact of your world and how much you can learn from other people on other parte if the world,
1,Argentina,Software,,Customer Support,,Entry level,1 year to 4 years,51 to 75%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Flexibility to work from any location,,4 weeks,Unlimited,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Employee,,At my company we can work from home as needed,11 to 50,100%,Yes,No,Yes,No,"health, computer, gym,etc.",Between $20 and $30,Between $101 and $200,"$25,001 to $50,000","The productivity, I'm more efficient working remotely","
nothing"
1,Argentina,Software,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Being in a different timezone than teammates,,Not having to commute,,3 weeks,Unlimited,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,101 to 500,100%,No,No,Yes,No,"Desk, chair, and second monitor",Not applicable,Not applicable,"$125,001 to $150,000",,
1,Argentina,E-commerce,,Design,,Executive level,More than 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Ability to have a flexible schedule,,2 weeks,2 weeks,Home,,Company's office,,Never,Freelancer / Self-employed,,,,,,,,,,Not applicable,Not applicable,"up to $25,000",that I could achieve responsabilities and deadlines and manage time as I want to get them done,\-
